Airline,Overall Rating,PredTotal_LR,Error
Singapore Airlines,9,7.7845173307207745,13.505362991991396
Singapore Airlines,3,1.0776770914096614,64.07743028634462
Singapore Airlines,10,8.889089544768412,11.10910455231588
Singapore Airlines,10,9.545298536746461,4.547014632535387
Singapore Airlines,10,9.535360499289144,4.646395007108559
Singapore Airlines,5,3.0490253314925684,39.01949337014863
Singapore Airlines,10,9.108195712413467,8.918042875865329
Singapore Airlines,4,6.159244463068846,53.98111157672114
Singapore Airlines,10,9.400031405762977,5.999685942370228
Singapore Airlines,10,8.935934586940078,10.640654130599216
Singapore Airlines,10,7.900518750059831,20.99481249940169
Singapore Airlines,2,5.159596918139453,157.97984590697266
Singapore Airlines,8,7.614782288334434,4.81522139581958
Singapore Airlines,2,4.603365260523876,130.1682630261938
Singapore Airlines,10,9.505877960305611,4.941220396943891
Singapore Airlines,10,9.389517933775087,6.104820662249129
Singapore Airlines,2,0.6081663086607163,69.59168456696419
Singapore Airlines,1,1.0837654971435169,8.37654971435169
Singapore Airlines,9,9.350026758100398,3.8891862011155354
Singapore Airlines,10,9.574402789300038,4.2559721069996215
Singapore Airlines,1,1.4838641590685873,48.38641590685873
Singapore Airlines,1,1.1201404364093597,12.014043640935967
Singapore Airlines,7,5.577898711294886,20.31573269578734
Singapore Airlines,1,2.0119899072499043,101.19899072499044
Singapore Airlines,8,5.945453804577532,25.681827442780847
Singapore Airlines,1,3.1647135560395347,216.47135560395347
Singapore Airlines,6,4.2305466006787675,29.49088998868721
Singapore Airlines,1,2.3559503024690365,135.59503024690366
Singapore Airlines,9,7.430197174290332,17.442253618996308
Singapore Airlines,4,4.283071554560898,7.076788864022454
Singapore Airlines,10,9.121425572270473,8.785744277295269
Singapore Airlines,1,6.30941811534162,530.941811534162
Singapore Airlines,1,1.337862608485675,33.78626084856751
Singapore Airlines,1,1.1126851937061704,11.268519370617035
Singapore Airlines,7,7.559988854328456,7.999840776120796
Singapore Airlines,10,9.29308985104299,7.069101489570109
Singapore Airlines,9,9.173946032377861,1.9327336930873469
Singapore Airlines,1,1.336015146149028,33.6015146149028
Singapore Airlines,3,5.861881904919762,95.39606349732539
Singapore Airlines,1,1.4740929357435477,47.40929357435477
Singapore Airlines,9,7.715213936155884,14.275400709379069
Singapore Airlines,10,9.201287886280891,7.987121137191089
Singapore Airlines,10,9.422530684607185,5.774693153928148
Singapore Airlines,5,4.472489799060959,10.550204018780818
Singapore Airlines,10,9.369530296324575,6.304697036754252
Singapore Airlines,8,9.32797346029721,16.599668253715127
Singapore Airlines,10,6.220462521747083,37.795374782529166
Singapore Airlines,10,8.030465666786213,19.695343332137867
Singapore Airlines,10,9.217334170104937,7.826658298950626
Singapore Airlines,10,9.295986552046513,7.040134479534873
Singapore Airlines,7,6.139218653811873,12.296876374116104
Singapore Airlines,9,9.113558050416154,1.2617561157350465
Singapore Airlines,10,7.602903002921495,23.970969970785056
Singapore Airlines,1,2.348145503323608,134.8145503323608
Singapore Airlines,6,8.297618991167178,38.29364985278631
Singapore Airlines,2,5.655948302179217,182.79741510896085
Singapore Airlines,10,7.594482201485974,24.05517798514026
Singapore Airlines,2,4.386779677144597,119.33898385722985
Singapore Airlines,6,4.623634458259899,22.939425695668344
Singapore Airlines,6,4.389916571554906,26.834723807418232
Singapore Airlines,2,2.9954592320690057,49.772961603450284
Singapore Airlines,6,7.527499167449952,25.458319457499204
Singapore Airlines,9,7.507262116518785,16.58597648312461
Singapore Airlines,5,2.554716317132979,48.905673657340415
Singapore Airlines,1,2.6299344240782005,162.99344240782005
Singapore Airlines,1,2.7146551914382138,171.46551914382138
Singapore Airlines,2,1.0604881280721523,46.975593596392386
Singapore Airlines,8,7.795825272009022,2.5521840998872225
Singapore Airlines,5,2.729324719441995,45.4135056111601
Singapore Airlines,4,4.993198796603247,24.829969915081172
Singapore Airlines,4,2.6136209498565983,34.65947625358504
Singapore Airlines,4,4.639609191215134,15.990229780378339
Singapore Airlines,10,9.397334338336979,6.026656616630213
Singapore Airlines,10,9.46782252464942,5.321774753505792
Singapore Airlines,2,2.5750247548583642,28.751237742918214
Singapore Airlines,4,1.5019338507560203,62.45165373109949
Singapore Airlines,8,7.61811476008723,4.773565498909626
Singapore Airlines,9,7.637349958981799,15.140556011313342
Singapore Airlines,8,8.265601947193575,3.3200243399196916
Singapore Airlines,4,2.9044561733013414,27.388595667466465
Singapore Airlines,1,1.8393570720737862,83.93570720737861
Singapore Airlines,7,9.20418415668364,31.48834509548057
Singapore Airlines,6,5.676545537154468,5.390907714092194
Singapore Airlines,2,1.4214503644118144,28.92748177940928
Singapore Airlines,10,9.39056282854156,6.094371714584401
Singapore Airlines,10,7.491339475990386,25.08660524009614
Singapore Airlines,5,5.18820794091667,3.764158818333403
Singapore Airlines,9,9.018615488450125,0.2068387605569476
Singapore Airlines,7,7.417751235045215,5.967874786360219
Singapore Airlines,2,1.2526267098514843,37.368664507425784
Singapore Airlines,10,9.303751363868749,6.962486361312514
Singapore Airlines,7,5.905919864323108,15.629716223955597
Singapore Airlines,10,9.40768911560159,5.9231088439840995
Singapore Airlines,1,0.9814168103475107,1.8583189652489285
Singapore Airlines,10,9.238347509985562,7.616524900144377
Singapore Airlines,10,9.262610512570264,7.373894874297361
Singapore Airlines,1,1.2409117521455608,24.09117521455608
Singapore Airlines,5,4.086429441483129,18.27141117033742
Singapore Airlines,1,1.366842508992689,36.6842508992689
Singapore Airlines,5,2.4712854194902456,50.57429161019509
Singapore Airlines,4,1.3270399961049613,66.82400009737597
Singapore Airlines,1,2.16329177105923,116.32917710592298
Singapore Airlines,9,6.076834110111883,32.47962099875686
Singapore Airlines,5,4.295535190038902,14.089296199221959
Singapore Airlines,10,7.680237514056842,23.197624859431578
Singapore Airlines,9,8.929021962041206,0.7886448662088184
Singapore Airlines,10,9.57237461839038,4.276253816096194
Singapore Airlines,5,2.467636524689385,50.647269506212304
Singapore Airlines,8,7.365733683465182,7.928328956685227
Singapore Airlines,6,5.02326058152865,16.27899030785584
Singapore Airlines,10,9.418134195786322,5.818658042136775
Singapore Airlines,1,1.0277612242801717,2.7761224280171692
Singapore Airlines,9,7.886018315593455,12.37757427118383
Singapore Airlines,3,2.775328627577734,7.489045747408873
Singapore Airlines,7,8.41897235321944,20.271033617420564
Singapore Airlines,1,1.2480257428132426,24.80257428132426
Singapore Airlines,10,7.7387604795399785,22.612395204600215
Singapore Airlines,10,7.47686300846546,25.2313699153454
Singapore Airlines,1,1.0282313931630753,2.8231393163075325
Singapore Airlines,4,6.932932826520293,73.32332066300734
Singapore Airlines,4,3.6066131491783384,9.83467127054154
Singapore Airlines,10,9.137089317968215,8.629106820317851
Singapore Airlines,2,0.9508817325318124,52.45591337340938
Singapore Airlines,1,1.7295672247320426,72.95672247320427
Singapore Airlines,10,9.0244518883406,9.755481116593998
Singapore Airlines,2,3.515342238827639,75.76711194138196
Singapore Airlines,1,1.1134599837680375,11.345998376803745
Singapore Airlines,1,2.714251845436112,171.4251845436112
Singapore Airlines,10,9.51430510432023,4.856948956797709
Singapore Airlines,10,9.294207319274202,7.057926807257982
Singapore Airlines,3,2.23480636929323,25.50645435689233
Singapore Airlines,10,9.230925993620057,7.690740063799436
Singapore Airlines,4,2.450608032060619,38.734799198484524
Singapore Airlines,9,9.268099875627472,2.978887506971913
Singapore Airlines,5,6.7922481673268695,35.84496334653739
Singapore Airlines,4,0.9637851767447394,75.90537058138152
Singapore Airlines,4,1.1666296154623925,70.83425961344018
Singapore Airlines,6,8.127720841811273,35.46201403018789
Singapore Airlines,9,7.747393821456084,13.91784642826573
Singapore Airlines,1,0.9494697377098933,5.053026229010671
Singapore Airlines,2,1.757860128172609,12.106993591369552
Singapore Airlines,10,7.874951168585763,21.250488314142366
Singapore Airlines,9,7.830801856346886,12.991090485034599
Singapore Airlines,6,4.126934845548055,31.217752574199082
Singapore Airlines,9,9.049754963139454,0.5528329237717166
Singapore Airlines,10,9.310350365249306,6.89649634750694
Singapore Airlines,4,6.1315034613428265,53.28758653357066
Singapore Airlines,1,0.8108217072318471,18.91782927681529
Singapore Airlines,10,7.691331137930684,23.086688620693163
Singapore Airlines,1,4.152039192713469,315.20391927134693
Singapore Airlines,2,0.7915706037629451,60.421469811852745
Singapore Airlines,3,4.4081628699933395,46.93876233311132
Singapore Airlines,2,4.005223502366412,100.26117511832058
Singapore Airlines,7,6.642067862050723,5.11331625641824
Singapore Airlines,10,9.161393247952253,8.386067520477472
Singapore Airlines,1,0.8473486845890299,15.26513154109701
Singapore Airlines,3,1.8092614801654676,39.691283994484415
Singapore Airlines,1,1.364784480406359,36.47844804063589
Singapore Airlines,1,1.7386582697574786,73.86582697574786
Singapore Airlines,2,0.7017174747208059,64.9141262639597
Singapore Airlines,9,9.27792725733744,3.08808063708267
Singapore Airlines,1,1.619622853718136,61.96228537181361
Singapore Airlines,6,4.2260521200256465,29.565797999572556
Singapore Airlines,1,1.8522546498953667,85.22546498953668
Singapore Airlines,1,2.600255024763337,160.02550247633368
Singapore Airlines,1,1.3082394394262697,30.823943942626975
Singapore Airlines,1,1.1347144203193225,13.471442031932245
Singapore Airlines,8,5.990716914632048,25.116038567099398
Singapore Airlines,1,2.50905134840513,150.905134840513
Singapore Airlines,1,5.670367597497985,467.0367597497985
Singapore Airlines,10,9.29590450963503,7.040954903649705
Singapore Airlines,9,9.175090453662973,1.9454494851441437
Singapore Airlines,6,6.174738714436613,2.9123119072768766
Singapore Airlines,2,2.990328356026766,49.51641780133831
Singapore Airlines,9,7.552185589973321,16.086826778074215
Singapore Airlines,6,7.871009850861995,31.183497514366582
Singapore Airlines,3,2.2661662738770567,24.46112420409811
Singapore Airlines,1,2.8757608638696883,187.57608638696883
Singapore Airlines,3,1.1666531877057686,61.11156040980771
Singapore Airlines,3,2.979629228331441,0.6790257222853017
Singapore Airlines,4,4.28170963234794,7.042740808698511
Singapore Airlines,2,2.5709794730774416,28.54897365387208
Singapore Airlines,10,9.100764275257351,8.99235724742649
Singapore Airlines,5,6.176336188911985,23.526723778239695
Singapore Airlines,10,7.4904805904766745,25.095194095233257
Singapore Airlines,7,6.188926160286593,11.586769138762955
Singapore Airlines,1,1.4127530797898933,41.27530797898933
Singapore Airlines,1,1.0821335957176348,8.21335957176348
Singapore Airlines,2,4.537695493806425,126.88477469032127
Singapore Airlines,1,2.7152684049129383,171.52684049129383
Singapore Airlines,10,7.8079474677735785,21.920525322264215
Singapore Airlines,10,9.511682097687737,4.883179023122626
Singapore Airlines,1,2.8880227242599856,188.80227242599855
Singapore Airlines,1,2.461109859945223,146.1109859945223
Singapore Airlines,8,7.673508071752978,4.081149103087778
Singapore Airlines,2,1.2522651408914451,37.38674295542774
Singapore Airlines,10,8.274277634647463,17.25722365352537
