Airline,Overall Rating,PredTotal_GBR,Error
Singapore Airlines,9,8.444587035455784,6.171255161602396
Singapore Airlines,3,1.6509046212111516,44.96984595962828
Singapore Airlines,10,8.624050741105117,13.759492588948827
Singapore Airlines,10,9.610349236950404,3.8965076304959645
Singapore Airlines,10,9.6987808090012,3.0121919099880046
Singapore Airlines,5,2.746214924565161,45.07570150869678
Singapore Airlines,10,9.013232383915684,9.867676160843164
Singapore Airlines,4,6.301521516413477,57.53803791033691
Singapore Airlines,10,9.473175003697941,5.26824996302059
Singapore Airlines,10,8.463966484550138,15.36033515449862
Singapore Airlines,10,8.636317188504504,13.636828114954955
Singapore Airlines,2,4.037739416976669,101.88697084883347
Singapore Airlines,8,7.813504238298852,2.331197021264353
Singapore Airlines,2,3.9908991470098,99.54495735049001
Singapore Airlines,10,9.686232507957625,3.137674920423752
Singapore Airlines,10,9.254313404143778,7.456865958562221
Singapore Airlines,2,1.2736392022357697,36.318039888211516
Singapore Airlines,1,1.4300158887208512,43.001588872085115
Singapore Airlines,9,9.341792702922278,3.7976966991364276
Singapore Airlines,10,9.786952315604095,2.1304768439590482
Singapore Airlines,1,1.4787377739416876,47.87377739416876
Singapore Airlines,1,1.3088857741241962,30.888577412419615
Singapore Airlines,7,4.313300546661379,38.381420761980294
Singapore Airlines,1,1.6386709759941271,63.867097599412716
Singapore Airlines,8,6.22370705640942,22.203661794882244
Singapore Airlines,1,2.801328738956347,180.1328738956347
Singapore Airlines,6,3.122626920829154,47.95621798618077
Singapore Airlines,1,1.722589291437945,72.2589291437945
Singapore Airlines,9,7.697690530106499,14.470105221038901
Singapore Airlines,4,3.5411570147547176,11.471074631132062
Singapore Airlines,10,9.14454454512723,8.554554548727697
Singapore Airlines,1,6.416950609017081,541.6950609017081
Singapore Airlines,1,1.4889164389871614,48.89164389871614
Singapore Airlines,1,1.5116013311017158,51.16013311017158
Singapore Airlines,7,7.659903272975547,9.427189613936386
Singapore Airlines,10,9.436499398355267,5.635006016447335
Singapore Airlines,9,9.235656033073184,2.61840036747982
Singapore Airlines,1,1.5433087168690125,54.33087168690125
Singapore Airlines,3,4.814623482382301,60.48744941274338
Singapore Airlines,1,1.7049962844206659,70.49962844206658
